time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-24T14:47:56.330Z,35.9481667,-117.7033333,3.16,0.98,ml,19,43,0.08341,0.15,ci,ci38636575,2019-07-24T14:51:38.844Z,"18km E of Little Lake, CA",earthquake,0.25,1.01,0.203,11,automatic,ci,ci
2019-07-24T14:47:15.110Z,35.9475,-117.705,2.49,1.67,ml,28,42,0.08465,0.25,ci,ci38636567,2019-07-24T14:58:20.600Z,"18km E of Little Lake, CA",earthquake,0.3,0.52,0.193,24,automatic,ci,ci
2019-07-24T14:46:06.720Z,35.6551667,-117.4965,6.25,1.57,ml,17,49,0.05551,0.19,ci,ci38636559,2019-07-24T14:49:51.321Z,"15km SW of Searles Valley, CA",earthquake,0.41,0.84,0.184,9,automatic,ci,ci
2019-07-24T14:45:40.590Z,35.7008333,-117.4796667,4.31,1.61,ml,31,64,0.05786,0.16,ci,ci38636551,2019-07-24T14:56:44.730Z,"10km SW of Searles Valley, CA",earthquake,0.23,0.65,0.194,27,automatic,ci,ci
2019-07-24T14:43:28.680Z,36.0306664,-120.5975037,4.42,1.49,md,5,195,0.03808,0,nc,nc73233601,2019-07-24T14:59:04.628Z,"21km NW of Parkfield, CA",earthquake,1.1,2.23,0.77,2,automatic,nc,nc
2019-07-24T14:38:41.160Z,35.9441667,-117.662,1.64,2.76,ml,33,51,0.04966,0.14,ci,ci38636535,2019-07-24T15:06:09.199Z,"22km E of Little Lake, CA",earthquake,0.18,0.3,0.215,26,automatic,ci,ci
2019-07-24T14:36:24.890Z,33.1695,-115.5493333,16.44,2.71,ml,8,229,0.05474,0.15,ci,ci38636519,2019-07-24T14:40:16.958Z,"6km NW of Calipatria, CA",earthquake,1.33,0.91,0.328,31,automatic,ci,ci
2019-07-24T14:35:18.620Z,35.607,-117.604,3.99,3.75,mw,71,23,0.03215,0.16,ci,ci38636511,2019-07-24T15:20:31.764Z,"7km ESE of Ridgecrest, CA",earthquake,0.1,0.28,,4,reviewed,ci,ci
2019-07-24T14:34:45.990Z,35.6475,-117.5638333,4.15,1.6,ml,30,47,0.02577,0.15,ci,ci38636503,2019-07-24T14:45:05.980Z,"10km ENE of Ridgecrest, CA",earthquake,0.2,0.42,0.158,27,automatic,ci,ci
2019-07-24T14:31:26.370Z,35.9725,-117.6625,1.86,1.35,ml,20,61,0.0615,0.19,ci,ci38636479,2019-07-24T14:35:09.762Z,"22km E of Little Lake, CA",earthquake,0.27,0.37,0.126,19,automatic,ci,ci
2019-07-24T14:27:41.050Z,35.6821667,-117.4661667,7.84,1.14,ml,21,81,0.03855,0.25,ci,ci38636463,2019-07-24T14:31:32.900Z,"11km SSW of Searles Valley, CA",earthquake,0.41,0.9,0.255,13,automatic,ci,ci
2019-07-24T14:20:45.115Z,62.6573,-151.5778,0,1.2,ml,,,,0.69,ak,ak0199f9mli8,2019-07-24T14:25:29.582Z,"84km WNW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-24T14:19:03.910Z,35.8463333,-117.7431667,3.03,1.34,ml,21,70,0.04162,0.23,ci,ci38636431,2019-07-24T14:22:44.243Z,"18km SE of Little Lake, CA",earthquake,0.36,0.5,0.209,22,automatic,ci,ci
2019-07-24T14:16:03.570Z,35.9968333,-117.7075,3.89,1.27,ml,15,53,0.05473,0.18,ci,ci38636415,2019-07-24T14:19:53.146Z,"19km ENE of Little Lake, CA",earthquake,0.37,0.78,0.229,18,automatic,ci,ci
2019-07-24T14:09:17.860Z,35.8936667,-117.708,1.73,0.95,ml,14,66,0.09594,0.15,ci,ci38636383,2019-07-24T14:12:54.741Z,"18km ESE of Little Lake, CA",earthquake,0.27,0.41,0.236,12,automatic,ci,ci
2019-07-24T14:03:41.060Z,33.5896667,-116.8116667,4.62,1.11,ml,54,25,0.03991,0.22,ci,ci38636367,2019-07-24T14:07:24.069Z,"13km WNW of Anza, CA",earthquake,0.24,0.42,0.155,29,automatic,ci,ci
2019-07-24T14:02:59.500Z,36.0693333,-117.85,1.59,1.03,ml,20,124,0.04831,0.14,ci,ci38636359,2019-07-24T14:06:50.586Z,"9km ENE of Coso Junction, CA",earthquake,0.27,0.31,0.253,13,automatic,ci,ci
2019-07-24T14:00:54.730Z,35.8941667,-117.7173333,7.55,1.15,ml,19,53,0.09375,0.13,ci,ci38636343,2019-07-24T14:05:53.009Z,"18km ESE of Little Lake, CA",earthquake,0.21,0.73,0.302,16,automatic,ci,ci
2019-07-24T14:00:10.630Z,33.5981674,-116.8078308,5.87,1,ml,34,56,0.03677,0.19,ci,ci38636335,2019-07-24T14:03:57.995Z,"13km WNW of Anza, CA",earthquake,0.36,0.81,0.263,10,automatic,ci,ci
2019-07-24T13:54:57.440Z,35.8931667,-117.7075,9.16,1.21,ml,19,67,0.0958,0.24,ci,ci38636327,2019-07-24T13:58:44.105Z,"19km ESE of Little Lake, CA",earthquake,0.43,1.1,0.271,15,automatic,ci,ci
2019-07-24T13:53:03.590Z,35.6283333,-117.4331667,5.3,2.51,ml,38,55,0.03751,0.16,ci,ci38636303,2019-07-24T14:03:39.900Z,"16km S of Searles Valley, CA",earthquake,0.23,0.34,0.18,25,automatic,ci,ci
2019-07-24T13:52:47.620Z,35.918,-117.6946667,2.1,1.02,ml,14,66,0.07749,0.17,ci,ci38636295,2019-07-24T13:56:26.389Z,"19km E of Little Lake, CA",earthquake,0.26,0.39,0.195,11,automatic,ci,ci
2019-07-24T13:52:37.570Z,38.8421669,-122.8406677,1.8,1.15,md,23,91,0.005398,0.04,nc,nc73233551,2019-07-24T14:15:04.261Z,"10km NW of The Geysers, CA",earthquake,0.22,0.39,0.13,4,automatic,nc,nc
2019-07-24T13:48:47.600Z,35.9523333,-117.7115,2.46,0.97,ml,17,43,0.08451,0.14,ci,ci38636287,2019-07-24T13:52:39.162Z,"18km E of Little Lake, CA",earthquake,0.26,0.35,0.154,13,automatic,ci,ci
2019-07-24T13:45:53.610Z,36.6005,-115.9067,0,1.5,ml,29,130.56,0.065,0.33,nn,nn00697241,2019-07-24T13:54:32.254Z,"44km N of Pahrump, Nevada",earthquake,,13.6,,,automatic,nn,nn
2019-07-24T13:44:03.232Z,66.0055,-148.0648,5,1.2,ml,,,,0.85,ak,ak0199f967ui,2019-07-24T13:47:48.585Z,"128km N of College, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-24T13:42:49.850Z,36.4431648,-121.0178299,2.48,1.89,md,13,118,0.01847,0.18,nc,nc73233546,2019-07-24T14:04:02.870Z,"15km SE of Pinnacles, CA",earthquake,0.73,0.64,0.16,10,automatic,nc,nc
2019-07-24T13:33:36.690Z,35.7056667,-117.5873333,6.89,1.08,ml,24,50,0.08475,0.15,ci,ci38636215,2019-07-24T13:37:14.730Z,"12km NE of Ridgecrest, CA",earthquake,0.25,0.69,0.17,15,automatic,ci,ci
2019-07-24T13:28:21.020Z,35.6201667,-117.4485,2.83,1.16,ml,20,79,0.0354,0.19,ci,ci38636199,2019-07-24T13:32:06.564Z,"17km SSW of Searles Valley, CA",earthquake,0.25,0.31,0.156,13,automatic,ci,ci
2019-07-24T13:26:12.183Z,61.0993,-149.0781,22.8,1.1,ml,,,,0.54,ak,ak0199f92dnm,2019-07-24T13:28:52.761Z,"42km NNW of Whittier, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-24T13:25:35.160Z,35.7536667,-117.5705,7.95,1,ml,13,86,0.06572,0.14,ci,ci38636191,2019-07-24T13:29:19.951Z,"15km W of Searles Valley, CA",earthquake,0.3,0.83,0.198,11,automatic,ci,ci
2019-07-24T13:21:22.060Z,36.0476667,-117.8428333,1.79,1.15,ml,17,123,0.05545,0.12,ci,ci38636167,2019-07-24T13:25:03.104Z,"10km E of Coso Junction, CA",earthquake,0.22,0.25,0.277,16,automatic,ci,ci
2019-07-24T13:19:34.530Z,36.1401667,-117.8865,7.99,1.46,ml,22,93,0.03412,0.12,ci,ci38636159,2019-07-24T13:23:29.097Z,"12km NNE of Coso Junction, CA",earthquake,0.27,0.51,0.237,20,automatic,ci,ci
2019-07-24T13:18:44.400Z,36.448,-115.7423,6.4,1.3,ml,26,106.42,0.27,0.12,nn,nn00697239,2019-07-24T13:47:11.735Z,"34km NE of Pahrump, Nevada",earthquake,,12.7,,,automatic,nn,nn
2019-07-24T13:17:19.051Z,-10.7358,114.9394,10,5.1,mww,,59,2.381,1.07,us,us60004urc,2019-07-24T13:34:54.040Z,"211km S of Kangin, Indonesia",earthquake,8.3,1.9,0.073,18,reviewed,us,us
2019-07-24T13:16:46.410Z,35.7008333,-117.5181667,10.57,1.75,ml,33,69,0.08478,0.17,ci,ci38636151,2019-07-24T13:27:43.440Z,"13km SW of Searles Valley, CA",earthquake,0.22,0.48,0.166,25,automatic,ci,ci
2019-07-24T13:12:41.570Z,35.6526667,-117.5443333,7.25,1.39,ml,23,50,0.03662,0.17,ci,ci38636127,2019-07-24T13:16:16.049Z,"12km ENE of Ridgecrest, CA",earthquake,0.26,0.47,0.142,19,automatic,ci,ci
2019-07-24T13:11:14.220Z,35.617,-117.5806667,7.35,1.55,ml,25,45,0.01067,0.16,ci,ci38636119,2019-07-24T13:15:07.340Z,"9km E of Ridgecrest, CA",earthquake,0.23,0.68,0.183,23,automatic,ci,ci
2019-07-24T13:10:08.900Z,37.6143341,-118.9798355,4.41,1.67,md,20,122,0.01619,0.03,nc,nc73233526,2019-07-24T13:25:05.083Z,"2km S of Mammoth Lakes, CA",earthquake,0.3,0.51,0.24,17,automatic,nc,nc
2019-07-24T13:04:59.780Z,35.9066667,-117.7301667,3.77,1.1,ml,13,65,0.08285,0.12,ci,ci38636103,2019-07-24T13:08:46.287Z,"16km ESE of Little Lake, CA",earthquake,0.25,0.84,0.188,12,automatic,ci,ci
2019-07-24T13:04:09.401Z,68.7264,-148.4412,0,1.3,ml,,,,0.81,ak,ak0199f8xnos,2019-07-24T13:07:36.375Z,"136km WNW of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-24T13:04:03.480Z,35.6119995,-117.4318314,9.54,1.07,ml,11,168,0.0355,0.16,ci,ci38636095,2019-07-24T13:07:36.999Z,"18km S of Searles Valley, CA",earthquake,0.82,1.15,0.186,2,automatic,ci,ci
2019-07-24T13:02:56.170Z,35.8085,-117.7913333,14.6,1.03,ml,10,100,0.0215,0.22,ci,ci38636087,2019-07-24T13:06:41.995Z,"18km SE of Little Lake, CA",earthquake,0.94,0.89,0.184,11,automatic,ci,ci
2019-07-24T12:59:17.450Z,35.6383333,-117.5916667,8.72,1.57,ml,25,46,0.02454,0.17,ci,ci38636071,2019-07-24T13:03:19.977Z,"8km ENE of Ridgecrest, CA",earthquake,0.26,0.64,0.106,22,automatic,ci,ci
2019-07-24T12:59:05.490Z,36.2885,-117.9321667,25.52,1.81,ml,12,301,0.1817,0.34,ci,ci38636063,2019-07-24T13:02:58.975Z,"7km E of Olancha, CA",earthquake,4.27,1.47,0.203,16,automatic,ci,ci
2019-07-24T12:57:19.340Z,35.6351667,-117.5768333,7.83,1.09,ml,21,58,0.01453,0.18,ci,ci38636055,2019-07-24T13:01:10.960Z,"9km E of Ridgecrest, CA",earthquake,0.31,0.67,0.115,13,automatic,ci,ci
2019-07-24T12:54:33.450Z,35.9243333,-117.7086667,2.6,1.56,ml,27,67,0.08755,0.17,ci,ci38636047,2019-07-24T12:58:36.945Z,"18km E of Little Lake, CA",earthquake,0.23,0.38,0.187,22,automatic,ci,ci
2019-07-24T12:48:43.260Z,36.1105,-117.8771667,2.71,1.9,ml,22,56,0.01939,0.17,ci,ci38636031,2019-07-24T12:59:57.950Z,"10km NE of Coso Junction, CA",earthquake,0.31,0.56,0.181,26,automatic,ci,ci
2019-07-24T12:43:29.320Z,35.899,-117.6855,1.98,1.2,ml,17,56,0.07725,0.13,ci,ci38636015,2019-07-24T12:47:14.996Z,"20km ESE of Little Lake, CA",earthquake,0.18,0.28,0.161,17,automatic,ci,ci
2019-07-24T12:42:21.860Z,35.5585,-117.397,3.28,0.97,ml,17,69,0.04268,0.21,ci,ci38635999,2019-07-24T12:46:02.868Z,"23km S of Trona, CA",earthquake,0.42,0.52,0.109,10,automatic,ci,ci
2019-07-24T12:40:27.353Z,61.5534,-146.5752,20.9,1,ml,,,,0.86,ak,ak0199f8jz8v,2019-07-24T12:44:49.754Z,"48km NNW of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-24T12:39:06.320Z,35.5916667,-117.427,5.06,1.12,ml,17,81,0.02915,0.16,ci,ci38635991,2019-07-24T12:42:55.848Z,"20km S of Searles Valley, CA",earthquake,0.26,0.38,0.276,16,automatic,ci,ci
2019-07-24T12:36:02.270Z,35.3595009,-117.8261642,6.67,1.2,ml,18,104,0.09327,0.17,ci,ci38635975,2019-07-24T12:39:47.833Z,"17km W of Johannesburg, CA",earthquake,0.36,1.05,0.3,5,automatic,ci,ci
2019-07-24T12:35:16.250Z,60.6296,-158.9964,14.5,1,ml,,,,0.73,ak,ak0199f8ivt5,2019-07-24T12:38:27.283Z,"151km E of Bethel, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-24T12:34:50.310Z,35.6703333,-117.5148333,9.63,1.13,ml,22,54,0.06539,0.17,ci,ci38635967,2019-07-24T12:38:41.803Z,"15km SW of Searles Valley, CA",earthquake,0.3,0.7,0.181,14,automatic,ci,ci
2019-07-24T12:33:22.450Z,35.7865,-117.586,5.6,1.35,ml,24,61,0.03064,0.18,ci,ci38635959,2019-07-24T12:37:10.794Z,"17km W of Searles Valley, CA",earthquake,0.27,0.67,0.19,19,automatic,ci,ci
2019-07-24T12:32:24.500Z,36.1271667,-117.8621667,-0.23,1.13,ml,13,143,0.01125,0.17,ci,ci38635951,2019-07-24T12:36:02.983Z,"12km NE of Coso Junction, CA",earthquake,0.73,0.47,0.205,14,automatic,ci,ci
2019-07-24T12:31:32.130Z,35.6461667,-117.4476667,2.58,1.59,ml,31,68,0.02719,0.15,ci,ci38635943,2019-07-24T12:42:44.420Z,"14km SSW of Searles Valley, CA",earthquake,0.2,0.3,0.123,23,automatic,ci,ci
2019-07-24T12:29:34.410Z,35.8801667,-117.6853333,7.97,1.37,ml,26,50,0.08764,0.15,ci,ci38635927,2019-07-24T12:40:41.660Z,"21km ESE of Little Lake, CA",earthquake,0.21,0.68,0.145,17,automatic,ci,ci
2019-07-24T12:24:53.670Z,35.8768349,-117.6893311,2.68,1.27,ml,8,83,0.0917,0.02,ci,ci38635919,2019-07-24T12:28:36.181Z,"21km ESE of Little Lake, CA",earthquake,0.55,0.94,0.617,6,automatic,ci,ci
2019-07-24T12:18:20.970Z,36.0265007,-120.5930023,4.69,2.37,md,40,143,0.04721,0.08,nc,nc73233511,2019-07-24T14:51:04.202Z,"20km NW of Parkfield, CA",earthquake,0.29,0.33,0.16,29,automatic,nc,nc
2019-07-24T12:12:15.210Z,33.591,-116.8123333,4.64,1.17,ml,55,30,0.04035,0.18,ci,ci38635855,2019-07-24T12:23:32.420Z,"14km WNW of Anza, CA",earthquake,0.19,0.37,0.168,25,automatic,ci,ci
2019-07-24T12:10:50.398Z,61.6307,-151.1926,0,1.4,ml,,,,0.66,ak,ak0199f8dljj,2019-07-24T12:22:02.036Z,"62km WSW of Willow, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-24T12:10:18.250Z,40.5123329,-124.1823349,25.69,2.19,md,14,127,0.1239,0.1,nc,nc73233506,2019-07-24T14:36:03.097Z,"7km WNW of Rio Dell, CA",earthquake,0.63,1.61,0.08,6,automatic,nc,nc
2019-07-24T12:08:51.876Z,62.0623,-151.4854,22,1.3,ml,,,,0.73,ak,ak0199f8d683,2019-07-24T12:11:48.800Z,"77km WSW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-07-24T12:03:55.170Z,35.8196667,-117.6361667,9.33,2.18,ml,34,62,0.03166,0.19,ci,ci38635839,2019-07-24T12:07:46.430Z,"22km WNW of Searles Valley, CA",earthquake,0.24,0.59,0.13,25,automatic,ci,ci
2019-07-24T11:55:48.638Z,61.3489,-152.4307,0,1.1,ml,,,,0.78,ak,ak0199f81szb,2019-07-24T11:59:35.055Z,"95km NW of Nikiski, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-24T11:53:39.620Z,35.5515,-117.3096667,6.81,0.97,ml,19,138,0.042,0.17,ci,ci38635815,2019-07-24T11:57:41.848Z,"24km SSE of Trona, CA",earthquake,0.34,0.55,0.161,10,automatic,ci,ci
2019-07-24T11:50:04.020Z,35.6625,-117.4828333,2.43,1.64,ml,29,51,0.04824,0.19,ci,ci38635799,2019-07-24T12:01:24.020Z,"14km SSW of Searles Valley, CA",earthquake,0.23,0.36,0.15,24,automatic,ci,ci
2019-07-24T11:44:29.015Z,61.3014,-152.4356,0,2,ml,,,,0.77,ak,ak0199f7zelc,2019-07-24T11:49:11.374Z,"92km NW of Nikiski, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-07-24T11:44:04.440Z,35.597,-117.4315,6.24,2.51,ml,37,42,0.02713,0.14,ci,ci38635783,2019-07-24T11:55:19.560Z,"19km S of Searles Valley, CA",earthquake,0.21,0.41,0.205,25,automatic,ci,ci
2019-07-24T11:41:42.220Z,36.1018333,-117.8813333,5.53,0.96,ml,11,197,0.02658,0.15,ci,ci38635767,2019-07-24T11:45:26.739Z,"9km NE of Coso Junction, CA",earthquake,0.66,0.53,0.105,3,automatic,ci,ci
2019-07-24T11:37:12.940Z,35.7991667,-117.6231667,6.58,1.21,ml,22,45,0.02662,0.17,ci,ci38635727,2019-07-24T11:40:52.996Z,"20km W of Searles Valley, CA",earthquake,0.27,0.53,0.165,13,automatic,ci,ci
2019-07-24T11:27:10.760Z,35.793,-117.6216667,9.01,0.98,ml,17,57,0.03001,0.17,ci,ci38635687,2019-07-24T11:31:46.649Z,"20km NNE of Ridgecrest, CA",earthquake,0.33,0.69,0.169,8,automatic,ci,ci
2019-07-24T11:24:56.240Z,38.328,-115.7993,4.3,2.1,ml,22,127.46,0.687,0.28,nn,nn00697229,2019-07-24T11:45:51.089Z,"52km ENE of Warm Springs, Nevada",earthquake,,2.3,,,automatic,nn,nn
2019-07-24T11:20:49.960Z,38.3595,-115.8178,0,1.9,ml,16,140.65,0.687,0.38,nn,nn00697226,2019-07-24T11:24:49.440Z,"51km SW of Currant, Nevada",earthquake,,12.9,,,automatic,nn,nn
2019-07-24T11:15:44.650Z,35.579834,-117.4236679,4.18,1.24,ml,13,89,0.0321,0.12,ci,ci38635631,2019-07-24T11:19:26.561Z,"21km S of Trona, CA",earthquake,0.52,0.59,0.118,2,automatic,ci,ci
2019-07-24T11:01:05.050Z,35.9575005,-117.6813354,3,1.18,ml,17,90,0.1064,0.11,ci,ci38635583,2019-07-24T11:04:49.473Z,"20km E of Little Lake, CA",earthquake,0.38,1.31,0.278,6,automatic,ci,ci
2019-07-24T11:00:15.870Z,35.9186667,-117.7176667,5.09,1.37,ml,23,42,0.08677,0.13,ci,ci38635575,2019-07-24T11:03:54.470Z,"17km E of Little Lake, CA",earthquake,0.2,0.93,0.162,20,automatic,ci,ci
2019-07-24T10:58:57.840Z,35.9555,-117.689,2.35,0.97,ml,14,64,0.07354,0.14,ci,ci38635567,2019-07-24T11:02:36.487Z,"20km E of Little Lake, CA",earthquake,0.3,0.35,0.088,9,automatic,ci,ci
2019-07-24T10:58:41.550Z,35.7393333,-117.5665,9.6,0.96,ml,15,61,0.0803,0.14,ci,ci38635559,2019-07-24T11:02:18.581Z,"15km WSW of Searles Valley, CA",earthquake,0.28,0.76,0.131,9,automatic,ci,ci
2019-07-24T10:49:45.044Z,59.0774,-138.8222,0,1.6,ml,,,,0.99,ak,ak0199f7f2ug,2019-07-24T10:52:35.123Z,"73km SE of Yakutat, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-24T10:49:13.830Z,35.8841667,-117.7313333,2.57,1.39,ml,22,59,0.08022,0.14,ci,ci38635543,2019-07-24T10:59:56.320Z,"17km ESE of Little Lake, CA",earthquake,0.2,0.42,0.23,20,automatic,ci,ci
2019-07-24T10:47:54.810Z,35.6073333,-117.438,2.31,1.52,ml,21,82,0.02865,0.2,ci,ci38635535,2019-07-24T10:51:39.402Z,"18km S of Searles Valley, CA",earthquake,0.27,0.33,0.144,12,automatic,ci,ci
2019-07-24T10:47:27.010Z,35.6096667,-117.4368333,2.61,1.52,ml,27,76,0.03101,0.19,ci,ci38635527,2019-07-24T10:57:51.900Z,"18km S of Searles Valley, CA",earthquake,0.23,0.29,0.133,22,automatic,ci,ci
2019-07-24T10:43:49.070Z,37.5413322,-118.7825012,7.73,1.79,md,21,127,0.06111,0.03,nc,nc73233451,2019-07-24T13:25:04.396Z,"9km WSW of Toms Place, CA",earthquake,0.35,0.93,0.12,18,automatic,nc,nc
2019-07-24T10:39:11.370Z,35.602,-117.5948333,5.69,1.61,ml,27,42,0.02897,0.19,ci,ci38635511,2019-07-24T10:42:56.796Z,"8km ESE of Ridgecrest, CA",earthquake,0.25,0.76,0.141,25,automatic,ci,ci
2019-07-24T10:38:45.360Z,35.6233333,-117.467,6.65,1.29,ml,30,48,0.03159,0.2,ci,ci38635503,2019-07-24T10:42:16.792Z,"17km SSW of Searles Valley, CA",earthquake,0.27,0.55,0.099,16,automatic,ci,ci
2019-07-24T10:37:16.200Z,35.6058333,-117.4086667,2.99,1.56,ml,29,80,0.0477,0.2,ci,ci38635495,2019-07-24T10:48:33.670Z,"18km S of Trona, CA",earthquake,0.27,0.38,0.138,21,automatic,ci,ci
2019-07-24T10:34:24.590Z,35.9005013,-117.685997,2.39,1.4,ml,20,69,0.07691,0.08,ci,ci38635479,2019-07-24T10:37:57.678Z,"20km ESE of Little Lake, CA",earthquake,0.2,0.33,0.172,5,automatic,ci,ci
2019-07-24T10:33:44.560Z,35.671833,-117.5108337,9.38,1.41,ml,27,80,0.09391,0.15,ci,ci38635471,2019-07-24T10:37:22.676Z,"14km SW of Searles Valley, CA",earthquake,0.3,1,0.32,6,automatic,ci,ci
2019-07-24T10:24:21.380Z,35.9716667,-117.6643333,2.38,1.6,ml,26,56,0.06221,0.18,ci,ci38635447,2019-07-24T10:28:10.644Z,"22km E of Little Lake, CA",earthquake,0.24,0.39,0.193,26,automatic,ci,ci
2019-07-24T10:23:30.530Z,19.3753338,-155.232666,28.56,1.81,md,50,80,0.007701,0.13,hv,hv71058277,2019-07-24T10:26:51.830Z,"6km S of Volcano, Hawaii",earthquake,0.45,0.48,0.19,11,automatic,hv,hv
2019-07-24T10:20:02.470Z,36.26016667,-97.3885,7,1.12,ml,63,55,0.08998234239,0.21,ok,ok2019ojnc,2019-07-24T13:13:55.800Z,"9km WSW of Perry, Oklahoma",earthquake,,0.5,0.17,8,reviewed,ok,ok
2019-07-24T10:18:11.860Z,35.8378333,-117.3446667,7.57,1.26,ml,13,205,0.1839,0.2,ci,ci38635423,2019-07-24T10:21:46.467Z,"9km NNE of Trona, CA",earthquake,1.63,31.61,0.117,5,automatic,ci,ci
2019-07-24T10:17:39.521Z,63.0892,-150.4143,104.6,2.3,ml,,,,0.64,ak,ak0199f787fx,2019-07-24T11:05:00.040Z,"80km WSW of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-07-24T10:17:36.150Z,35.6578333,-117.438,5.68,1.07,ml,26,61,0.01374,0.18,ci,ci38635415,2019-07-24T10:21:21.466Z,"13km SSW of Searles Valley, CA",earthquake,0.29,0.78,0.098,12,automatic,ci,ci
2019-07-24T10:14:07.760Z,35.915,-117.6998333,2.82,1.12,ml,23,42,0.08228,0.16,ci,ci38635407,2019-07-24T10:17:34.441Z,"19km E of Little Lake, CA",earthquake,0.22,0.93,0.161,16,automatic,ci,ci
2019-07-24T10:13:28.890Z,33.5136681,-116.4926682,20.98,0.98,ml,20,112,0.05419,0.22,ci,ci38635399,2019-07-24T10:17:10.441Z,"17km ESE of Anza, CA",earthquake,1.07,1.37,0.185,5,automatic,ci,ci
2019-07-24T10:09:06.470Z,35.8733333,-117.7181667,8.28,1.58,ml,32,55,0.07496,0.16,ci,ci38635391,2019-07-24T10:20:17.720Z,"18km ESE of Little Lake, CA",earthquake,0.19,0.62,0.188,23,automatic,ci,ci
2019-07-24T10:06:46.606Z,-25.8454,-69.0937,108.05,4.2,mb,,83,0.814,0.89,us,us60004um9,2019-07-24T10:27:04.040Z,"111km ENE of Diego de Almagro, Chile",earthquake,7.2,4.9,0.176,9,reviewed,us,us
